
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2030 343.618 137.447 120.266 214.637 216.228 216.463 219.345 1.50022 
2031 343.618 137.447 120.266 208.696 211.76 212.219 217.455 2.82169 
2032 343.618 137.447 120.266 202.692 207.883 208.688 217.83 4.73683 
2033 343.618 137.447 120.266 197.11 204.816 206.132 219.282 7.0759 
2034 343.618 137.447 120.266 191.807 203.261 204.526 221.844 9.51291 
2035 343.618 137.447 120.266 187.832 202.422 203.633 224.879 11.7677 
2036 343.618 137.447 120.266 184.37 201.635 203.234 227.95 13.7009 
2037 343.618 137.447 120.266 181.954 201.363 203.129 230.144 15.2872 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2024  0 0.0990105 0.119243 0.0713322 0.0713322 0.0713322 0.0713322 5.55112e-17 
2025  0 0.0990105 0.119243 0.039302 0.0393027 0.0393026 0.039303 3.06623e-07 
2026  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2027  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2028  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2029  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2030  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2031  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2032  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2033  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2034  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2035  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2036  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 
2037  0 0.0990105 0.119243 0.0495053 0.0495053 0.0495053 0.0495053 3.53884e-16 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2024 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 2.04636e-12 
2025 1785.64 465.616 428.615 647.344 649.856 650.615 656.326 2.97097 
2026 1785.64 465.616 428.615 636.755 643.645 644.643 656.953 6.51087 
2027 1785.64 465.616 428.615 621.268 632.991 635.056 655.066 11.034 
2028 1785.64 465.616 428.615 606.722 623.777 626.922 657.361 16.2774 
2029 1785.64 465.616 428.615 591.749 617.079 620.15 659.648 21.8094 
2030 1785.64 465.616 428.615 578.521 612.282 614.784 663.951 27.297 
2031 1785.64 465.616 428.615 566.022 607.413 610.828 668.956 32.4106 
2032 1785.64 465.616 428.615 556.168 604.078 608.132 675.96 37.1283 
2033 1785.64 465.616 428.615 547.341 601.084 606.36 678.167 41.2573 
2034 1785.64 465.616 428.615 540.495 598.982 605.335 682.389 45.0523 
2035 1785.64 465.616 428.615 533.932 598.864 604.856 686.039 48.4559 
2036 1785.64 465.616 428.615 528.459 598.613 604.811 690.446 51.6139 
