
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2026 343.618 137.447 120.266 217.813 217.944 217.966 218.181 0.126192 
2027 343.618 137.447 120.266 211.387 211.733 211.791 212.357 0.328957 
2028 343.618 137.447 120.266 205.56 206.366 206.487 207.775 0.746817 
2029 343.618 137.447 120.266 198.956 200.668 200.909 203.601 1.55023 
2030 343.618 137.447 120.266 191.954 195.28 195.678 200.642 2.91223 
2031 343.618 137.447 120.266 185.144 190.73 191.391 199.863 4.89226 
2032 343.618 137.447 120.266 178.823 187.292 188.272 200.988 7.31159 
2033 343.618 137.447 120.266 173.167 184.78 186.238 203.092 9.80609 
2034 343.618 137.447 120.266 168.729 183.543 184.986 205.961 12.0474 
2035 343.618 137.447 120.266 164.143 182.562 184.231 209.387 13.8874 
2036 343.618 137.447 120.266 161.342 181.938 183.74 210.346 15.3245 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2023  0 0.0990105 0.119243 0.0712498 0.0712498 0.0712498 0.0712498 0 
2024  0 0.0990105 0.119243 0.0584165 0.0584174 0.0584173 0.0584178 4.48902e-07 
2025  0 0.0990105 0.119243 0.0782745 0.0783015 0.0782989 0.0783137 1.30724e-05 
2026  0 0.0990105 0.119243 0.0769064 0.0770575 0.0770438 0.0771318 7.60918e-05 
2027  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 1.15186e-15 
2028  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 1.15186e-15 
2029  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 1.15186e-15 
2030  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 1.15186e-15 
2031  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 1.15186e-15 
2032  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 1.15186e-15 
2033  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 1.15186e-15 
2034  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 1.15186e-15 
2035  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 1.15186e-15 
2036  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 1.15186e-15 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2023 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 1.27329e-11 
2024 1785.64 465.616 428.615 647.404 650.029 650.655 656.012 2.88335 
2025 1785.64 465.616 428.615 628.891 635.898 637.024 648.305 6.70119 
2026 1785.64 465.616 428.615 602.214 615.218 617.148 637.141 11.6311 
2027 1785.64 465.616 428.615 578.113 598.159 600.43 630.952 17.1816 
2028 1785.64 465.616 428.615 560.755 587.305 590.992 630.649 22.9905 
2029 1785.64 465.616 428.615 544.808 579.898 583.465 634.651 28.6355 
2030 1785.64 465.616 428.615 528.867 573.628 577.597 638.881 33.9622 
2031 1785.64 465.616 428.615 517.412 569.146 573.169 642.256 38.6354 
2032 1785.64 465.616 428.615 508.261 565.169 569.991 644.177 42.6391 
2033 1785.64 465.616 428.615 501.527 563.411 567.681 649.519 46.1335 
2034 1785.64 465.616 428.615 494.185 561.306 566.004 653.225 48.9464 
2035 1785.64 465.616 428.615 488.972 560.104 564.617 655.581 51.1447 
