"","YEAR","HAUL_DATE","SPECIES","FMP_AREA","EXTRAPOLATED_WEIGHT"
"316",2018,2018-08-28,301,"GOA",13309.66
"317",2018,2018-08-28,301,"GOA",29151.91
"318",2018,2018-08-29,301,"GOA",991.15
"319",2018,2018-08-29,301,"GOA",2467.13
"320",2018,2018-08-29,301,"GOA",5.24
"321",2018,2018-08-29,301,"GOA",900.18
"322",2018,2018-08-29,301,"GOA",2100.2
"323",2018,2018-08-30,301,"GOA",1438.18
"324",2018,2018-08-30,301,"GOA",393.99
"325",2018,2018-08-30,301,"GOA",21.82
"326",2018,2018-09-25,301,"GOA",55.55
"327",2018,2018-09-25,301,"GOA",140.68
"328",2018,2018-09-26,301,"GOA",1166.17
"329",2018,2018-09-26,301,"GOA",20873.95
"330",2018,2018-09-27,301,"GOA",36157.63
"331",2018,2018-08-24,301,"GOA",1112.08
"332",2018,2018-08-24,301,"GOA",46420.25
"333",2018,2018-08-24,301,"GOA",16608.4
"334",2018,2018-08-24,301,"GOA",22757.02
"335",2018,2018-08-25,301,"GOA",2174.83
"336",2018,2018-08-25,301,"GOA",908.54
"337",2018,2018-08-25,301,"GOA",3631.52
"338",2018,2018-08-25,301,"GOA",138.89
"339",2018,2018-08-25,301,"GOA",59.4
"340",2018,2018-08-26,301,"GOA",15705.84
"341",2018,2018-08-26,301,"GOA",5982.99
"342",2018,2018-08-26,301,"GOA",15749.82
"343",2018,2018-08-27,301,"GOA",22314.1
"344",2018,2018-08-27,301,"GOA",15100.17
"345",2018,2018-08-27,301,"GOA",12927.35
"346",2018,2018-09-18,301,"GOA",7839.85
"347",2018,2018-09-18,301,"GOA",4865.94
"348",2018,2018-09-18,301,"GOA",4090.88
"349",2018,2018-09-18,301,"GOA",2245.13
"350",2018,2018-09-19,301,"GOA",199.98
"351",2018,2018-09-19,301,"GOA",552.1
"352",2018,2018-09-19,301,"GOA",6319.83
"353",2018,2018-09-19,301,"GOA",1614.98
"354",2018,2018-09-19,301,"GOA",850.07
"355",2018,2018-09-20,301,"GOA",1392.72
"356",2018,2018-09-20,301,"GOA",6665.62
"357",2018,2018-05-03,301,"GOA",34728
"358",2018,2018-05-03,301,"GOA",58365
"359",2018,2018-05-03,301,"GOA",73308
"360",2018,2018-05-06,301,"GOA",351.91
"361",2018,2018-07-06,301,"GOA",591.79
"362",2018,2018-07-06,301,"GOA",1325.23
"363",2018,2018-07-06,301,"GOA",55961.45
"364",2018,2018-07-08,301,"GOA",56168.92
"365",2018,2018-07-08,301,"GOA",44692.66
"366",2018,2018-07-08,301,"GOA",43708.51
"367",2018,2018-10-05,301,"GOA",2788.48
"368",2018,2018-10-06,301,"GOA",2895.52
"369",2018,2018-07-01,301,"GOA",77557.86
"370",2018,2018-07-02,301,"GOA",84195.61
"371",2018,2018-07-02,301,"GOA",56710.33
"372",2018,2018-07-09,301,"GOA",57052.2
"373",2018,2018-07-09,301,"GOA",49551.48
"374",2018,2018-07-10,301,"GOA",52515.93
"375",2018,2018-07-10,301,"GOA",58494.74
"376",2018,2018-07-10,301,"GOA",64917.85
"377",2018,2018-07-11,301,"GOA",57939.28
"378",2018,2018-07-11,301,"GOA",52435.16
"379",2018,2018-07-12,301,"GOA",16130.66
"380",2018,2018-07-12,301,"GOA",1727.81
"381",2018,2018-07-13,301,"GOA",1735.07
"382",2018,2018-07-13,301,"GOA",528.34
"383",2018,2018-07-13,301,"GOA",1650.08
"384",2018,2018-07-13,301,"GOA",3030.01
"385",2018,2018-07-15,301,"GOA",56341.48
"386",2018,2018-07-15,301,"GOA",50159.03
"387",2018,2018-07-15,301,"GOA",63098.87
"388",2018,2018-07-16,301,"GOA",50945.39
"389",2018,2018-07-16,301,"GOA",49441.34
"390",2018,2018-07-17,301,"GOA",23120.7
"391",2018,2018-07-17,301,"GOA",40635.22
"392",2018,2018-07-17,301,"GOA",53107.3
"393",2018,2018-07-17,301,"GOA",50496.19
"394",2018,2018-09-01,301,"GOA",288.09
"395",2018,2018-09-01,301,"GOA",283.07
"396",2018,2018-09-01,301,"GOA",283.85
"397",2018,2018-10-05,301,"GOA",1529.33
"398",2018,2018-10-05,301,"GOA",219.68
"399",2018,2018-07-22,301,"GOA",58882.51
"400",2018,2018-07-22,301,"GOA",46530.36
"401",2018,2018-10-16,301,"GOA",9995.52
"402",2018,2018-10-17,301,"GOA",30.82
"403",2018,2018-10-18,301,"GOA",24.16
"404",2018,2018-09-04,301,"GOA",73.25
"405",2018,2018-07-23,301,"GOA",66437.85
"406",2018,2018-07-23,301,"GOA",59743.87
