survey_definition_id,area_id,year,species_code,sex,age,population_count,length_mm_mean,length_mm_sd
47,99903,2009,30060,1,21,17519745,395.43,10.25
47,99903,2009,30060,1,22,34758967,368.93,21.67
47,99903,2009,30060,1,23,11816804,386.15000000000003,9.23
47,99903,2009,30060,1,24,8112343,370,0
47,99903,2009,30060,1,26,3413926,412.85,4.5200000000000005
47,99903,2009,30060,1,30,1012053,420.31,3.5
47,99903,2009,30060,1,31,5207457,403.52,7.62
47,99903,2009,30060,1,32,2477805,410.25,3.14
47,99903,2009,30060,1,33,409993,430,0
47,99903,2009,30060,1,34,2439715,410,0
47,99903,2009,30060,1,39,409993,430,0
47,99903,2009,30060,1,53,3259032,400,0
47,99903,2009,30060,1,56,409993,430,0
47,99903,2009,30060,1,72,408100,440,0
47,99903,2009,30060,2,-9,58858,340.19,261.11
47,99903,2009,30060,2,1,182327,95.73,4.95
47,99903,2009,30060,2,2,2151134,146.16,16.740000000000002
47,99903,2009,30060,2,3,42935033,188.71,14.27
47,99903,2009,30060,2,4,19212874,202.28,21.48
47,99903,2009,30060,2,5,28529895,232.01,33.79
47,99903,2009,30060,2,6,15491286,263.41,20.45
47,99903,2009,30060,2,7,38674971,320.31,27.42
47,99903,2009,30060,2,8,21410226,328.96,10.44
47,99903,2009,30060,2,9,71197693,354.3,30.07
47,99903,2009,30060,2,10,26752246,337.87,10.81
47,99903,2009,30060,2,11,30831992,363.76,12.56
47,99903,2009,30060,2,12,57277544,355.15000000000003,19.62
47,99903,2009,30060,2,13,10416637,370,0
47,99903,2009,30060,2,14,28796941,388.13,19.21
47,99903,2009,30060,2,15,36667850,381.6,14.8
47,99903,2009,30060,2,16,12417139,410,0
47,99903,2009,30060,2,17,4129996,420,0
47,99903,2009,30060,2,19,1308324,440,0
47,99903,2009,30060,2,20,11894147,392.82,22.95
47,99903,2009,30060,2,21,19624309,418.49,11.38
47,99903,2009,30060,2,22,38111566,384.29,15.71
47,99903,2009,30060,2,23,3282186,430,0
