record_type,join_key,species_key,sex_key,t_table,cruise,permit,vessel,gear,nmfs_area,latdd_start,londd_start,latdd_end,londd_end,length_seq,performance,fishing_depth_fathoms,bottom_depth_fathoms,length,weight,species,sex,haul_offload_date,haul_offload,specimen_number,age,maturity_code,maturity_description,specimen_type,specimen_type_description,haul_join,port_join,year,viability,injury,special_project_code,sample_system,akfin_load_date,gear_description,gear_performance_description,akr_gear,fmp_gear,fmp_area,fmp_subarea,species_name,akr_species_code,deployment_trip_pk,deployment_trip_start_date,deployment_trip_end_date,sampling_strata,sampling_strata_name,sampling_strata_deployment_category,sampling_strata_selection_rate,monitoring_status,landing_report_id,akfin_vdate,gear_type,haul_seq
HAUL,22810003819e9,301,M,ATL_HAUL,22810,3819,A117,1,610,54.28333,-161.16667,54.26667,-161.33333,8861,1,120,120,32,0.48,301,M,2018-07-15T00:00:00Z,427,4273,NA,NA,NA,3,Length-Weight Sample,22810003819e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,WG,PACIFIC OCEAN PERCH,141,740264,2018-07-09T00:00:00Z,2018-07-21T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,870
HAUL,22810003819e9,301,M,ATL_HAUL,22810,3819,A117,1,610,54.28333,-161.16667,54.26667,-161.33333,8861,1,120,120,32,NA,301,M,2018-07-15T00:00:00Z,427,4273,NA,NA,NA,1,Otoliths,22810003819e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,WG,PACIFIC OCEAN PERCH,141,740264,2018-07-09T00:00:00Z,2018-07-21T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,870
HAUL,22810003819e9,301,F,ATL_HAUL,22810,3819,A117,1,610,54.28333,-161.16667,54.26667,-161.33333,8864,1,120,120,34,0.46,301,F,2018-07-15T00:00:00Z,427,4272,NA,NA,NA,3,Length-Weight Sample,22810003819e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,WG,PACIFIC OCEAN PERCH,141,740264,2018-07-09T00:00:00Z,2018-07-21T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,870
HAUL,22810003819e9,301,F,ATL_HAUL,22810,3819,A117,1,610,54.28333,-161.16667,54.26667,-161.33333,8864,1,120,120,34,NA,301,F,2018-07-15T00:00:00Z,427,4272,9,NA,NA,1,Otoliths,22810003819e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,WG,PACIFIC OCEAN PERCH,141,740264,2018-07-09T00:00:00Z,2018-07-21T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,870
HAUL,22810003819e9,301,F,ATL_HAUL,22810,3819,A117,1,610,54.28333,-161.16667,54.26667,-161.33333,8866,1,120,120,36,0.68,301,F,2018-07-15T00:00:00Z,427,4271,NA,NA,NA,3,Length-Weight Sample,22810003819e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,WG,PACIFIC OCEAN PERCH,141,740264,2018-07-09T00:00:00Z,2018-07-21T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,870
HAUL,22810003819e9,301,F,ATL_HAUL,22810,3819,A117,1,610,54.28333,-161.16667,54.26667,-161.33333,8866,1,120,120,36,NA,301,F,2018-07-15T00:00:00Z,427,4271,NA,NA,NA,1,Otoliths,22810003819e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,WG,PACIFIC OCEAN PERCH,141,740264,2018-07-09T00:00:00Z,2018-07-21T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,870
HAUL,22810003819e9,301,M,ATL_HAUL,22810,3819,A117,1,630,57.7,-149.96667,57.76667,-149.98333,9654,1,94,94,34,0.52,301,M,2018-07-29T00:00:00Z,481,48103,NA,NA,NA,3,Length-Weight Sample,22810003819e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,740262,2018-07-27T00:00:00Z,2018-07-31T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,980
HAUL,22810003819e9,301,M,ATL_HAUL,22810,3819,A117,1,630,57.7,-149.96667,57.76667,-149.98333,9654,1,94,94,34,NA,301,M,2018-07-29T00:00:00Z,481,48103,NA,NA,NA,1,Otoliths,22810003819e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,740262,2018-07-27T00:00:00Z,2018-07-31T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,980
HAUL,22810003819e9,301,M,ATL_HAUL,22810,3819,A117,1,630,57.7,-149.96667,57.76667,-149.98333,9655,1,94,94,35,0.54,301,M,2018-07-29T00:00:00Z,481,48101,NA,NA,NA,3,Length-Weight Sample,22810003819e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,740262,2018-07-27T00:00:00Z,2018-07-31T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,980
HAUL,22810003819e9,301,M,ATL_HAUL,22810,3819,A117,1,630,57.7,-149.96667,57.76667,-149.98333,9655,1,94,94,35,NA,301,M,2018-07-29T00:00:00Z,481,48101,NA,NA,NA,1,Otoliths,22810003819e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,740262,2018-07-27T00:00:00Z,2018-07-31T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,980
