
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2027 343.618 137.447 120.266 210.774 211.088 211.143 211.738 0.311261 
2028 343.618 137.447 120.266 205.047 205.8 205.921 207.29 0.717807 
2029 343.618 137.447 120.266 198.584 200.167 200.403 203.276 1.49402 
2030 343.618 137.447 120.266 191.703 194.743 195.201 200.384 2.79831 
2031 343.618 137.447 120.266 184.97 190.106 190.899 199.934 4.67437 
2032 343.618 137.447 120.266 178.834 186.437 187.719 200.604 6.94312 
2033 343.618 137.447 120.266 173.154 184.353 185.591 202.445 9.27782 
2034 343.618 137.447 120.266 168.811 183.011 184.248 204.844 11.4064 
2035 343.618 137.447 120.266 165.27 181.87 183.448 207.368 13.2005 
2036 343.618 137.447 120.266 162.549 181.097 182.981 209.166 14.6455 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2023  0 0.0990105 0.119243 0.0727775 0.0727775 0.0727775 0.0727775 3.46945e-16 
2024  0 0.0990105 0.119243 0.0777692 0.0777706 0.0777704 0.0777711 6.25827e-07 
2025  0 0.0990105 0.119243 0.0764708 0.0764996 0.0764967 0.0765113 1.32906e-05 
2026  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2027  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2028  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2029  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2030  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2031  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2032  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2033  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2034  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2035  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2036  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2023 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 2.04636e-12 
2024 1785.64 465.616 428.615 646.756 649.268 650.027 655.738 2.97097 
2025 1785.64 465.616 428.615 620.865 627.755 628.753 641.063 6.51075 
2026 1785.64 465.616 428.615 596.258 607.984 610.049 630.064 11.0356 
2027 1785.64 465.616 428.615 578.403 595.448 598.598 629.028 16.2712 
2028 1785.64 465.616 428.615 560.651 585.954 589.025 628.459 21.7833 
2029 1785.64 465.616 428.615 545.148 578.892 581.312 630.317 27.2297 
2030 1785.64 465.616 428.615 530.787 571.967 575.409 633.314 32.2729 
2031 1785.64 465.616 428.615 519.35 567.043 571.093 638.011 36.8868 
2032 1785.64 465.616 428.615 509.476 562.526 567.971 638.874 40.8791 
2033 1785.64 465.616 428.615 501.625 559.719 565.804 641.573 44.5108 
2034 1785.64 465.616 428.615 494.565 558.119 564.344 643.958 47.73 
2035 1785.64 465.616 428.615 488.079 558.067 563.436 646.999 50.6948 
2036 1785.64 465.616 428.615 485.207 559.166 562.783 646.577 53.3003 
Alternative 5 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
